=== GPT-2 v3+E1+E2+E3 Start: 2026. 04. 02. (목) 15:03:34 KST ===
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
`torch_dtype` is deprecated! Use `dtype` instead!
========================================================================
FOKVQ Exp 4-2 v3: Full KV Cache Quantization PPL Benchmark
Date: 2026-04-02 15:03:36
Model: gpt2-medium (gpt2-medium)
Device: cuda:1, dtype: torch.float16
Chunk length: 1024 (non-overlapping)
Protocol: post_rope
Methods: ['fp16', 'uniform', 'kivi', 'fokvq', 'fokvq_qw', 'fokvq_e2', 'fokvq_e3', 'fokvq_full'], Bits: [2, 3, 4]
FOKVQ gamma: 0.3
========================================================================

KEY DIFFERENCE vs v2:
  v2: sliding window, only prefix K quantized (50% of window)
  v3: non-overlapping chunks, ALL K quantized via hooks (100%)

Loading model...
Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 2712.48it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 2701.57it/s]
Token indices sequence length is longer than the specified maximum sequence length for this model (283287 > 1024). Running this sequence through the model will result in indexing errors
  layers=24, heads=16, kv_heads=16, d_head=64

Loading WikiText-2...
  WikiText-2 test: 4358 lines -> 283287 tokens

--- FP16 Baseline ---
    chunk 1/276 | tokens=1023 | ppl=12.50 | 0.2s
    chunk 120/276 | tokens=122760 | ppl=21.70 | 540.8s
    chunk 130/276 | tokens=132990 | ppl=21.18 | 575.9s
    chunk 140/276 | tokens=143220 | ppl=21.09 | 610.9s
    chunk 150/276 | tokens=153450 | ppl=21.01 | 645.4s
    chunk 160/276 | tokens=163680 | ppl=20.88 | 680.3s
    chunk 170/276 | tokens=173910 | ppl=20.72 | 714.9s
    chunk 180/276 | tokens=184140 | ppl=21.19 | 750.0s
    chunk 190/276 | tokens=194370 | ppl=21.35 | 833.0s
    chunk 200/276 | tokens=204600 | ppl=21.29 | 936.1s
    chunk 210/276 | tokens=214830 | ppl=21.37 | 1012.5s
    chunk 220/276 | tokens=225060 | ppl=21.38 | 1081.5s
    chunk 230/276 | tokens=235290 | ppl=21.38 | 1150.5s
    chunk 240/276 | tokens=245520 | ppl=21.35 | 1219.7s
    chunk 250/276 | tokens=255750 | ppl=21.38 | 1288.7s
    chunk 260/276 | tokens=265980 | ppl=21.40 | 1357.8s
    chunk 270/276 | tokens=276210 | ppl=21.35 | 1426.9s
  PPL = 21.4282 (282348 tokens, 1468.3s, key_MSE=0.022106)

--- fokvq_e2_2bit (post_rope) ---
  Patched 24 attention modules (type=gpt2, method=fokvq_e2, bits=2)
    chunk 1/276 | tokens=1023 | ppl=15.27 | 915.9s
7(+1.9%)
  kivi          138.56(+548.7%)   27.15(+27.1%)   21.96(+2.8%)
  fokvq          25.65(+20.1%)   21.68(+1.5%)   21.41(+0.2%)
  fokvq_qw       28.00(+31.1%)   21.81(+2.1%)   21.43(+0.3%)
========================================================================

EXPECTED CHANGES vs v2 (50% prefix-only quantization):
  - Larger PPL degradation at low bits (full quantization effect visible)
  - GPT-2 3bit: expect > +0.4% (was diluted in v2)
  - Qwen 3bit: expect similar or larger than +24%
  - Qwen 4bit: expect similar or larger than +1.5%
  - Key insight: if v3 results are similar to v2, the 50% dilution
    was already minor (good for the paper)
run_v3_gpt2_e1.sh: 줄 19: ager: 명령어를 찾을 수 없음
=== GPT-2 v3+E1+E2+E3 End: 2026. 04. 02. (목) 17:49:22 KST ===
